wikidata_id,name,latitude,longitude,inception,image
Q810070,basilica dell'Osservanza,43.33331,11.33955,1401-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/BasilicaDellOsservanzaSiena2.jpg
Q124080197,battistero di Santa Maria presso San Satiro,,,,
Q124154936,battistero in Santa Maria e San Donato,,,,
Q108393822,Battistero di San Giovanni,45.9732,9.19602,,http://commons.wikimedia.org/wiki/Special:FilePath/34LennoBattistero.jpg
Q105700280,Battistero di San Giovanni Battista,45.696216,9.176248,,http://commons.wikimedia.org/wiki/Special:FilePath/Mariano%20Comense%20-%20Battistero%20di%20San%20Giovanni%20Battista%20-%202023.jpg
Q33537561,battistero di San Giovanni,45.741391,9.138775,,http://commons.wikimedia.org/wiki/Special:FilePath/Battistero%20galliano%20esterno.jpg
Q131794738,battistero,44.407784,8.939323,,
Q112817904,Battistero della Chiesa della Beata Vergine Immacolata e tre fanciulli,45.725552,9.238499,,
Q3983163,tempietto del Santo Sepolcro,43.77196,11.2499,1457-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Cappella%20del%20santo%20sepolcro%2Ctempietto%2000.JPG
Q33113318,battistero di San Giovanni Battista,45.81829,8.82764,,http://commons.wikimedia.org/wiki/Special:FilePath/329VareseBattistero.jpg
Q112137101,Battistero,45.752685,9.224489,,http://commons.wikimedia.org/wiki/Special:FilePath/Baptistry%20%28Lurago%20d%27Erba%29%2003.jpg
Q581487,battistero di San Giovanni in Tumba,41.70736111,15.95486111,,http://commons.wikimedia.org/wiki/Special:FilePath/Monte%20Sant%27Angelo-Tomba%20di%20Rotari01.jpg
Q105882396,battistero della chiesa di San Lorenzo,46.012397305,10.872030701,,http://commons.wikimedia.org/wiki/Special:FilePath/Vigo%20Lomaso%2C%20battistero%2001.jpg
Q2306225,battistero di San Giovanni in Fonte,40.852806,14.259353,0400-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Battistero%20di%20San%20Giovanni%20in%20Fonte%20%28Napoli%29%20WLM24%20%2816%29.jpg
Q112817797,battistero della basilica dei Santi Pietro e Paolo,45.68598,9.23946,,http://commons.wikimedia.org/wiki/Special:FilePath/Baptistry%20-%20Basilica%20of%20Saints%20Peter%20and%20Paul%20in%20Agliate%20%28Italy%29.JPG
Q1066935,battistero di San Giovanni,43.31807,11.32926,1317-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Battistero%20siena%2000.jpg
Q2883692,battistero di Parma,44.803168,10.330429,1150-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Battistero%20di%20Parma%20-%20Vista%20Ingresso.jpg
Q120663204,battistero della Basilica di Santa Maria Assunta,45.810722,9.903883,,
Q1256487,battistero Neoniano,44.41559,12.19736,0401-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Ravenna%20Baptistry%20of%20Neon.jpg
Q1449217,battistero degli Ariani,44.418717,12.20239,0401-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Baptistery.Arians02.jpg
Q106082313,battistero di San Giovanni alla Murata,44.171427,11.945436,1450-01-01T00:00:00Z,
Q3636817,battistero di San Giovanni in corte,43.933113,10.917088,1361-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Pistoia%2C%20antico%20palazzo%20dei%20Vescovi%2C%20interno%2C%20sovrapportico%20del%20duomo%2C%20veduta%20verso%20il%20battistero-edit.jpg
Q61467365,battistero di San Giovanni Battista,45.95251,8.69293,,http://commons.wikimedia.org/wiki/Special:FilePath/Battistero%20di%20San%20Giovanni%20Battista%20in%20Domo%2C%20Porto%20Valtravaglia%2002.jpg
Q116868013,chiesa battistero di San Giovanni,45.86353,8.86013,,http://commons.wikimedia.org/wiki/Special:FilePath/Arcisate%20-%20San%20Vittore%200039.jpg
Q112321411,Battistero di S. Giovanni,45.791519,9.345591,,http://commons.wikimedia.org/wiki/Special:FilePath/Baptistery%20of%20St.%20John%20Baptist%20%28Oggiono%29%2003.jpg
Q2883692,battistero di Parma,44.803168,10.330429,1150-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Battistero%20Parma%2027.jpg
Q2883692,battistero di Parma,44.803168,10.330429,1150-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Battistero%20Parma%2007.jpg
Q2883692,battistero di Parma,44.803168,10.330429,1150-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Battistero%20Parma%2004.jpg
Q3636813,battistero di San Giovanni Battista,45.67525,8.46123,,http://commons.wikimedia.org/wiki/Special:FilePath/Battistero%20Cureggio1.jpg
Q124142432,battistero della chiesa di San Lorenzo,44.68193,9.95536,,http://commons.wikimedia.org/wiki/Special:FilePath/Serravalle%20%28Varano%20de%27%20Melegari%29%20-%20Battistero%2006.JPG
Q3636805,battistero di Albenga,44.04942,8.21311,0401-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Baptistry%20Albenga%20ext.JPG
Q124154926,battistero di Santa Maria Assunta,45.49844,12.418952,,http://commons.wikimedia.org/wiki/Special:FilePath/Torcello%2C%20cattedrale%20di%20santa%20maria%20assunta%2C%20esterno%2004%20resti%20del%20battistero.jpg
Q106078953,chiesa e battistero di Vigolo Marchese,44.878239,9.84016,1550-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Chiesa%20di%20San%20Giovanni%20%28Vigolo%20Marchese%2C%20Castell%27Arquato%29%20-%20facciata%2C%20lato%20nord%20e%20battistero%201%202022-07-20.jpg
Q3636814,battistero di San Giovanni alle Fonti,45.46428,9.1904,,http://commons.wikimedia.org/wiki/Special:FilePath/Baptistery%20of%20San%20Giovanni%20alle%20Fonti%203r.jpg
Q120639545,battistero di San Giovanni Battista,43.817022639,7.774104713,1600-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Sanremo-battistero%20san%20giovanni-complesso.jpg
Q65028807,battistero di Santa Severina,39.148226714,16.915095244,,
Q2519438,battistero lateranense,41.88615,12.5043,0400-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Rom%2C%20San%20Giovanni%20in%20Laterano%2C%20Baptisterium%2C%20Au%C3%9Fenansicht%202.jpg
Q3636816,battistero di San Giovanni ad Fontes,45.1224,8.79401,,http://commons.wikimedia.org/wiki/Special:FilePath/Lomello%20battistero.jpg
Q112817785,Battistero Chiesa Parrocchiale di S. Filastro,45.670485,9.926495,,
Q16531575,Battistero di Biella,45.56635,8.05394,,http://commons.wikimedia.org/wiki/Special:FilePath/Biella%20-%20Battistero%20di%20Biella%20-%202023-09-27%2021-53-18%20001.jpg
